canonical_smiles,ROS,CTX
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,1.0,1.0
CCCOC(=O)c1cc(O)c(O)c(O)c1,1.0,1.0
CCCc1cc(=O)[nH]c(=S)[nH]1,0.0,0.0
CCN(CC)C(=O)N1CCN(C)CC1,0.0,0.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.0,1.0
CCN(CC)CCCC(C)N=c1c2ccc(Cl)cc2[nH]c2ccc(OC)cc12,1.0,1.0
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,0.0,1.0
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,0.0,0.0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0.0,0.0
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1C,1.0,1.0
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,0.0,1.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0.0,0.0
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,0.0,0.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,1.0,1.0
CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,1.0,1.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1.0,1.0
CN(C)CCCN1c2ccccc2CCc2ccccc21,1.0,1.0
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,1.0,1.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1.0,1.0
CN(C)CCN(Cc1cccs1)c1ccccn1,0.0,0.0
CN(C)N=Nc1[nH]cnc1C(N)=O,0.0,0.0
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O,0.0,0.0
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,0.0,1.0
CN1C(C(=O)N=c2cccc[nH]2)C(=O)c2ccccc2S1(=O)=O,0.0,0.0
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.0,0.0
CN1CC(CNC(=O)OCc2ccccc2)CC2c3cccc4c3c(cn4C)CC21,1.0,1.0
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,1.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.0
CN1CCN2c3ncccc3Cc3ccccc3C2C1,1.0,0.0
CN=C(C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0.0,0.0
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,0.0,0.0
CNCCCN1c2ccccc2CCc2ccccc21,1.0,1.0
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0.0,0.0
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,1.0,0.0
COC(=O)C1=C(C)N=C(C)C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,1.0,1.0
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,0.0,0.0
